log_id,timestamp,msisdn,event_type,amount,status,is_fraud_flag
1,2024-01-01 00:00:00,7485091550,pin_change,342.65,success,1
2,2024-01-01 01:00:00,7177366431,transfer,532.24,failed,0
3,2024-01-01 02:00:00,7209748520,transfer,125.74,success,0
4,2024-01-01 03:00:00,7897908081,pin_change,132.71,success,0
5,2024-01-01 04:00:00,7795435723,failed_login,143.54,success,1
6,2024-01-01 05:00:00,7519558407,cashout,939.82,failed,0
7,2024-01-01 06:00:00,7847613767,transfer,732.9,success,0
8,2024-01-01 07:00:00,7919496369,failed_login,162.38,success,0
9,2024-01-01 08:00:00,7538179419,pin_change,188.35,success,0
10,2024-01-01 09:00:00,7222170429,failed_login,730.83,success,0
11,2024-01-01 10:00:00,7143549523,login,156.16,success,0
12,2024-01-01 11:00:00,7384185661,transfer,234.56,failed,0
13,2024-01-01 12:00:00,7482144366,pin_change,963.35,success,0
14,2024-01-01 13:00:00,7278421754,cashout,255.31,success,0
15,2024-01-01 14:00:00,7344090630,pin_change,661.63,success,0
16,2024-01-01 15:00:00,7690717130,cashout,978.63,success,0
17,2024-01-01 16:00:00,7621982803,pin_change,374.3,success,0
18,2024-01-01 17:00:00,7227639503,failed_login,17.52,success,0
19,2024-01-01 18:00:00,7204407683,failed_login,244.15,success,0
20,2024-01-01 19:00:00,7418655621,failed_login,830.88,success,0
21,2024-01-01 20:00:00,7289041721,login,864.61,success,0
22,2024-01-01 21:00:00,7145309717,cashout,768.52,success,0
23,2024-01-01 22:00:00,7868950425,failed_login,113.11,success,0
24,2024-01-01 23:00:00,7991724414,login,795.51,success,0
25,2024-01-02 00:00:00,7616661506,cashout,918.68,success,0
26,2024-01-02 01:00:00,7175037566,pin_change,600.61,success,0
27,2024-01-02 02:00:00,7113398568,login,940.88,failed,0
28,2024-01-02 03:00:00,7704372411,transfer,826.84,success,1
29,2024-01-02 04:00:00,7994669417,login,666.97,success,0
30,2024-01-02 05:00:00,7810061837,login,577.19,success,0
31,2024-01-02 06:00:00,7350598090,cashout,348.57,success,0
32,2024-01-02 07:00:00,7965622737,pin_change,159.29,success,0
33,2024-01-02 08:00:00,7259210229,transfer,604.95,failed,0
34,2024-01-02 09:00:00,7400628747,failed_login,318.11,success,0
35,2024-01-02 10:00:00,7645508619,failed_login,866.44,success,0
36,2024-01-02 11:00:00,7685239180,login,993.34,success,0
37,2024-01-02 12:00:00,7984745496,cashout,752.43,success,0
38,2024-01-02 13:00:00,7523056428,cashout,90.48,success,0
39,2024-01-02 14:00:00,7497108210,failed_login,288.69,success,0
40,2024-01-02 15:00:00,7941516921,transfer,109.11,success,0
41,2024-01-02 16:00:00,7339377298,pin_change,650.51,failed,0
42,2024-01-02 17:00:00,7970083894,transfer,765.19,success,0
43,2024-01-02 18:00:00,7945677037,pin_change,925.67,success,0
44,2024-01-02 19:00:00,7373214563,failed_login,438.17,success,0
45,2024-01-02 20:00:00,7782190471,pin_change,901.38,success,0
46,2024-01-02 21:00:00,7523267804,cashout,877.89,success,0
47,2024-01-02 22:00:00,7170503798,login,317.2,success,0
48,2024-01-02 23:00:00,7788793652,login,868.9,success,0
49,2024-01-03 00:00:00,7681644726,failed_login,375.67,success,1
50,2024-01-03 01:00:00,7187525407,cashout,296.87,success,0
51,2024-01-03 02:00:00,7694378283,transfer,649.07,success,1
52,2024-01-03 03:00:00,7237784657,cashout,328.38,success,0
53,2024-01-03 04:00:00,7089597893,login,630.21,success,0
54,2024-01-03 05:00:00,7941464465,login,609.83,success,0
55,2024-01-03 06:00:00,7658259666,cashout,563.44,success,0
56,2024-01-03 07:00:00,7981205653,cashout,380.42,success,0
57,2024-01-03 08:00:00,7353538596,login,548.5,success,0
58,2024-01-03 09:00:00,7182444343,transfer,596.49,success,0
59,2024-01-03 10:00:00,7965479272,failed_login,545.69,success,0
60,2024-01-03 11:00:00,7645643906,failed_login,444.42,success,1
61,2024-01-03 12:00:00,7350153627,cashout,14.67,success,0
62,2024-01-03 13:00:00,7857028297,failed_login,587.06,success,0
63,2024-01-03 14:00:00,7658252530,login,168.44,success,0
64,2024-01-03 15:00:00,7774074402,login,642.58,failed,0
65,2024-01-03 16:00:00,7947302844,cashout,759.34,success,0
66,2024-01-03 17:00:00,7310089820,cashout,500.45,success,0
67,2024-01-03 18:00:00,7723271605,cashout,542.36,success,0
68,2024-01-03 19:00:00,7131651518,transfer,951.48,success,0
69,2024-01-03 20:00:00,7874362062,failed_login,847.17,success,0
70,2024-01-03 21:00:00,7032997728,cashout,914.24,success,0
71,2024-01-03 22:00:00,7388490118,pin_change,813.77,success,1
72,2024-01-03 23:00:00,7913208651,pin_change,108.92,success,0
73,2024-01-04 00:00:00,7748154672,login,148.99,success,0
74,2024-01-04 01:00:00,7507976541,failed_login,526.62,success,0
75,2024-01-04 02:00:00,7905295572,cashout,246.07,success,0
76,2024-01-04 03:00:00,7975683742,pin_change,476.7,success,0
77,2024-01-04 04:00:00,7712566713,failed_login,394.37,success,0
78,2024-01-04 05:00:00,7413370391,login,549.41,success,0
79,2024-01-04 06:00:00,7753738131,transfer,746.88,success,0
80,2024-01-04 07:00:00,7553040676,failed_login,715.49,success,0
81,2024-01-04 08:00:00,7412037635,failed_login,521.23,success,0
82,2024-01-04 09:00:00,7519857515,transfer,822.39,success,0
83,2024-01-04 10:00:00,7076123517,failed_login,430.86,success,0
84,2024-01-04 11:00:00,7020808635,login,896.71,success,0
85,2024-01-04 12:00:00,7172267671,login,71.28,success,0
86,2024-01-04 13:00:00,7185974321,transfer,954.66,success,0
87,2024-01-04 14:00:00,7502646448,cashout,654.69,failed,0
88,2024-01-04 15:00:00,7060111794,pin_change,380.07,success,0
89,2024-01-04 16:00:00,7337908319,cashout,197.15,success,0
90,2024-01-04 17:00:00,7378207848,failed_login,479.18,success,0
91,2024-01-04 18:00:00,7810097059,pin_change,194.56,success,0
92,2024-01-04 19:00:00,7126248185,transfer,166.33,failed,0
93,2024-01-04 20:00:00,7967474292,transfer,617.35,success,0
94,2024-01-04 21:00:00,7624982881,pin_change,523.08,success,0
95,2024-01-04 22:00:00,7456077027,login,670.1,success,0
96,2024-01-04 23:00:00,7530098753,pin_change,929.61,success,0
97,2024-01-05 00:00:00,7419719502,failed_login,532.26,success,0
98,2024-01-05 01:00:00,7647259553,login,580.93,success,0
99,2024-01-05 02:00:00,7184495011,transfer,89.63,success,0
100,2024-01-05 03:00:00,7737535749,pin_change,717.64,success,0
